Year,Job_Title,Salary_USD,Industry,Location,Experience_Level,AI_Adoption_Level,Required_Skills,Job_Openings,Remote_Work,Growth_Rate,Company_Size,Job_Type,Gender_Diversity_Index,Hiring_Frequency,Skill_Complexity
2017,AI Engineer,96903,Manufacturing,Boston,Junior,High,"Sales, CRM, TensorFlow, PyTorch",179,Yes,2.3,Large (>500 employees),Full-time,0.23,High,Medium
2024,Salesforce Administrator,71519,Manufacturing,Austin,Senior,High,"Python, SQL, Stats",388,No,3.3,Large (>500 employees),Full-time,0.75,Low,Medium
2021,Data Scientist,76799,Manufacturing,Chicago,Mid,Medium,"AI, Research",196,No,16.4,Small (<50 employees),Contract,0.98,Low,Low
2011,Salesforce Administrator,75006,Research,Boston,Senior,Low,"Sales, CRM",318,Yes,5.0,Medium (50-500 employees),Contract,0.49,Medium,Medium
2012,Salesforce Consultant,107725,Education,San Jose,Mid,High,"Sales, CRM",73,No,23.2,Large (>500 employees),Contract,0.55,High,High
2017,Salesforce Developer,113599,Education,San Francisco,Senior,Low,"AI, Research",387,No,1.4,Small (<50 employees),Part-time,0.62,High,Medium
2018,Data Scientist,117425,Technology,Boston,Junior,Medium,"Python, SQL, Stats",446,Hybrid,19.1,Small (<50 employees),Internship,0.96,High,Medium
2010,AI Researcher,91649,Education,Miami,Junior,Low,"AI, Research, TensorFlow, PyTorch",264,Yes,11.4,Large (>500 employees),Part-time,0.63,High,Medium
2016,Data Scientist,137250,Finance,San Jose,Junior,High,"AI, Research",340,Yes,19.9,Small (<50 employees),Internship,0.79,High,High
2017,Data Scientist,99501,Healthcare,Austin,Senior,Medium,"Python, SQL, Stats",422,No,7.7,Large (>500 employees),Part-time,0.4,High,Low
2011,Data Scientist,124859,Finance,Seattle,Junior,High,"Python, ML, AI",241,Hybrid,13.5,Large (>500 employees),Full-time,0.66,High,Low
2017,Data Scientist,147920,Technology,San Francisco,Mid,Medium,"Python, ML, AI",426,Yes,23.6,Medium (50-500 employees),Part-time,0.12,Medium,Medium
2011,Data Scientist,111595,Education,Houston,Senior,High,"Python, SQL, Stats",80,Hybrid,10.3,Large (>500 employees),Contract,0.75,High,Medium
2021,Data Scientist,78321,Research,Chicago,Senior,Medium,"Sales, CRM",381,No,16.8,Small (<50 employees),Contract,0.17,High,High
2024,AI Engineer,80033,Retail,Boston,Junior,Low,"AI, Research, TensorFlow, PyTorch",272,Hybrid,18.6,Medium (50-500 employees),Part-time,0.78,Medium,Medium
2020,AI Researcher,114775,Healthcare,Boston,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",243,Yes,2.7,Small (<50 employees),Full-time,0.95,High,High
2023,AI Engineer,121900,Education,Chicago,Mid,Low,"Sales, CRM, TensorFlow, PyTorch",404,Hybrid,24.8,Large (>500 employees),Part-time,0.62,Medium,Medium
2022,AI Researcher,91161,Manufacturing,Chicago,Senior,Medium,"Python, ML, AI, TensorFlow, PyTorch",330,No,10.2,Medium (50-500 employees),Contract,0.64,Medium,High
2016,Salesforce Consultant,103674,Retail,Austin,Senior,Medium,"AI, Research",159,No,17.3,Medium (50-500 employees),Internship,0.84,Medium,Low
2022,Data Scientist,140565,Healthcare,Boston,Mid,Low,"Python, ML, AI",249,No,20.7,Medium (50-500 employees),Part-time,0.64,High,Medium
2011,Salesforce Developer,144038,Finance,Boston,Junior,Medium,"Sales, CRM",439,Hybrid,9.6,Small (<50 employees),Part-time,0.89,Medium,Low
2017,AI Engineer,82724,Education,Seattle,Junior,High,"Python, ML, AI, TensorFlow, PyTorch",271,Hybrid,9.0,Large (>500 employees),Internship,0.4,High,High
2017,Salesforce Consultant,87330,Technology,Houston,Junior,Medium,"Sales, CRM",380,No,21.4,Medium (50-500 employees),Full-time,0.36,Low,Low
2021,Data Scientist,88200,Technology,Boston,Mid,Medium,"Sales, CRM",224,Yes,11.4,Large (>500 employees),Full-time,0.86,High,High
2014,AI Researcher,143652,Technology,Miami,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",244,Hybrid,9.1,Small (<50 employees),Full-time,0.37,Low,Medium
2019,Data Scientist,67763,Finance,Boston,Mid,Low,"AI, Research",176,No,6.1,Small (<50 employees),Full-time,0.24,High,High
2018,Salesforce Administrator,65692,Education,Chicago,Junior,Medium,"Sales, CRM",181,Hybrid,14.8,Small (<50 employees),Contract,0.68,Low,Low
2021,Data Scientist,79709,Retail,Chicago,Senior,Medium,"Sales, CRM",321,Hybrid,5.1,Large (>500 employees),Contract,0.93,High,Medium
2017,ML Engineer,142561,Research,Boston,Junior,Medium,"AI, Research, TensorFlow, PyTorch",151,Hybrid,6.8,Large (>500 employees),Full-time,0.26,High,Medium
2012,ML Engineer,93909,Finance,Austin,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",330,Hybrid,22.2,Small (<50 employees),Internship,0.38,Low,High
2020,Salesforce Developer,85311,Healthcare,Miami,Junior,Low,"Python, SQL, Stats",294,No,4.9,Large (>500 employees),Internship,0.81,Low,Low
2011,Data Scientist,94355,Retail,Boston,Senior,Medium,"AI, Research",264,Hybrid,14.4,Small (<50 employees),Part-time,0.94,Medium,Medium
2022,DL Engineer,145764,Manufacturing,New York,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",208,Hybrid,13.1,Small (<50 employees),Internship,0.54,High,Medium
2021,AI Researcher,66204,Healthcare,Austin,Senior,High,"AI, Research, TensorFlow, PyTorch",366,No,16.5,Small (<50 employees),Internship,0.43,High,High
2014,Salesforce Administrator,103292,Education,New York,Junior,High,"Sales, CRM",427,Yes,18.8,Small (<50 employees),Full-time,0.76,Low,High
2014,Salesforce Developer,85400,Technology,San Jose,Junior,High,"Sales, CRM",355,Hybrid,11.7,Large (>500 employees),Internship,0.67,High,Medium
2013,AI Researcher,113564,Retail,Chicago,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",268,No,16.7,Small (<50 employees),Full-time,0.89,High,Medium
2011,Salesforce Consultant,145353,Retail,New York,Junior,Medium,"Python, ML, AI",197,Yes,19.9,Small (<50 employees),Full-time,0.36,Medium,High
2019,ML Engineer,101339,Healthcare,Boston,Mid,Low,"Python, ML, AI, TensorFlow, PyTorch",254,Yes,21.4,Medium (50-500 employees),Part-time,0.58,Medium,Medium
2020,Salesforce Administrator,126855,Technology,Houston,Junior,Medium,"Sales, CRM",471,No,23.0,Large (>500 employees),Part-time,0.79,High,Medium
2014,DL Engineer,138923,Technology,Miami,Senior,High,"Python, SQL, Stats, TensorFlow, PyTorch",184,Yes,21.0,Medium (50-500 employees),Contract,0.57,High,High
2020,Data Scientist,68681,Manufacturing,Seattle,Senior,Medium,"Sales, CRM",431,No,22.8,Small (<50 employees),Part-time,0.19,High,Medium
2017,Data Scientist,66538,Manufacturing,San Jose,Senior,High,"AI, Research",500,Hybrid,16.9,Medium (50-500 employees),Part-time,0.99,Low,Low
2017,DL Engineer,75240,Finance,New York,Mid,Low,"Python, SQL, Stats, TensorFlow, PyTorch",293,Yes,21.0,Small (<50 employees),Full-time,0.37,High,Medium
2024,Data Scientist,137620,Retail,Miami,Junior,Low,"Python, SQL, Stats",104,No,1.1,Large (>500 employees),Part-time,0.81,Medium,Low
2023,Salesforce Administrator,67793,Healthcare,Boston,Junior,Medium,"Sales, CRM",278,Yes,20.8,Small (<50 employees),Part-time,0.67,High,High
2022,AI Researcher,80156,Finance,San Francisco,Senior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",149,Hybrid,13.6,Large (>500 employees),Full-time,0.13,High,High
2013,Data Scientist,115554,Research,San Francisco,Junior,High,"Python, SQL, Stats",186,Hybrid,4.8,Large (>500 employees),Internship,0.53,High,Low
2021,Salesforce Developer,138703,Manufacturing,Austin,Senior,Medium,"Python, SQL, Stats",400,No,12.7,Small (<50 employees),Contract,0.88,Medium,Low
2013,AI Engineer,87319,Finance,San Francisco,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",274,Hybrid,2.4,Large (>500 employees),Contract,0.58,High,Medium
2023,Data Scientist,92942,Education,San Francisco,Senior,Medium,"Python, ML, AI",389,Yes,4.9,Medium (50-500 employees),Contract,0.29,Medium,Low
2010,Salesforce Developer,142049,Manufacturing,San Francisco,Junior,High,"Sales, CRM",384,Yes,13.8,Medium (50-500 employees),Internship,0.67,High,Low
2022,AI Researcher,89093,Retail,Seattle,Junior,Low,"Sales, CRM, TensorFlow, PyTorch",302,Yes,2.4,Small (<50 employees),Part-time,0.52,Medium,High
2011,Salesforce Administrator,91706,Manufacturing,Seattle,Senior,High,"Python, SQL, Stats",64,Hybrid,2.3,Small (<50 employees),Full-time,0.94,High,Medium
2013,Data Scientist,101103,Education,Austin,Mid,High,"Sales, CRM",194,Hybrid,20.5,Medium (50-500 employees),Part-time,0.46,Medium,Medium
2019,AI Researcher,117222,Research,Seattle,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",199,No,5.5,Medium (50-500 employees),Contract,0.31,High,Low
2012,AI Researcher,118034,Finance,New York,Junior,High,"Python, SQL, Stats, TensorFlow, PyTorch",492,Yes,23.3,Small (<50 employees),Internship,0.81,High,High
2021,AI Researcher,108283,Technology,New York,Junior,Medium,"Python, ML, AI, TensorFlow, PyTorch",318,Yes,13.1,Large (>500 employees),Full-time,0.41,Medium,Low
2024,AI Researcher,96125,Manufacturing,Boston,Senior,Medium,"Sales, CRM, TensorFlow, PyTorch",107,Yes,11.6,Large (>500 employees),Part-time,0.58,Medium,Medium
2014,Salesforce Consultant,114093,Retail,San Francisco,Mid,High,"AI, Research",283,Yes,12.4,Large (>500 employees),Full-time,0.48,Medium,Low
2021,AI Researcher,135081,Finance,Miami,Mid,High,"Sales, CRM, TensorFlow, PyTorch",202,Yes,19.1,Medium (50-500 employees),Part-time,0.91,High,High
2017,AI Engineer,123081,Retail,Austin,Junior,High,"Python, SQL, Stats, TensorFlow, PyTorch",132,No,13.1,Medium (50-500 employees),Part-time,0.61,High,Low
2022,Data Scientist,93187,Healthcare,Seattle,Senior,Medium,"Sales, CRM",398,No,12.0,Large (>500 employees),Part-time,0.69,High,Medium
2024,Salesforce Developer,127260,Healthcare,Houston,Mid,High,"Python, SQL, Stats",241,Yes,17.2,Medium (50-500 employees),Part-time,0.79,High,Medium
2019,AI Researcher,103039,Education,San Jose,Mid,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",52,Hybrid,9.3,Medium (50-500 employees),Full-time,0.5,Medium,Medium
2015,Data Scientist,135849,Technology,Austin,Junior,High,"AI, Research",185,Yes,15.5,Medium (50-500 employees),Contract,0.33,Medium,High
2015,AI Researcher,116523,Finance,Seattle,Senior,High,"Python, ML, AI, TensorFlow, PyTorch",366,No,14.0,Medium (50-500 employees),Internship,0.63,Medium,Medium
2020,AI Researcher,73567,Technology,Chicago,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",455,No,3.1,Large (>500 employees),Internship,0.97,Medium,Low
2015,AI Researcher,114187,Technology,San Jose,Junior,Medium,"AI, Research, TensorFlow, PyTorch",201,No,16.9,Large (>500 employees),Full-time,0.91,High,High
2012,Salesforce Developer,138863,Healthcare,Boston,Junior,Low,"AI, Research",445,Yes,17.7,Medium (50-500 employees),Full-time,0.7,Medium,Medium
2017,Salesforce Developer,63193,Technology,Miami,Senior,High,"Sales, CRM",279,Yes,14.5,Medium (50-500 employees),Part-time,0.54,Low,Medium
2011,DL Engineer,68854,Research,Chicago,Mid,High,"Sales, CRM, TensorFlow, PyTorch",383,No,1.3,Medium (50-500 employees),Contract,0.37,Low,Medium
2023,ML Engineer,121773,Education,Austin,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",304,No,3.5,Small (<50 employees),Contract,0.6,Medium,High
2021,AI Engineer,135960,Retail,Houston,Junior,High,"Python, ML, AI, TensorFlow, PyTorch",311,Hybrid,21.7,Medium (50-500 employees),Full-time,0.85,High,High
2011,AI Researcher,138791,Education,Boston,Senior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",436,Hybrid,21.2,Small (<50 employees),Part-time,0.11,High,Low
2016,ML Engineer,101526,Retail,San Francisco,Senior,Medium,"AI, Research, TensorFlow, PyTorch",68,Yes,1.4,Large (>500 employees),Internship,0.4,High,High
2011,AI Engineer,63201,Finance,Boston,Mid,High,"AI, Research, TensorFlow, PyTorch",89,Hybrid,3.9,Small (<50 employees),Internship,0.45,Medium,Low
2023,ML Engineer,68880,Manufacturing,Chicago,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",384,Yes,15.1,Small (<50 employees),Internship,0.11,High,High
2019,Data Scientist,141310,Healthcare,Houston,Senior,High,"Sales, CRM",247,Yes,22.5,Medium (50-500 employees),Part-time,0.25,High,Low
2011,AI Researcher,89991,Technology,San Jose,Senior,Low,"AI, Research, TensorFlow, PyTorch",144,Yes,11.1,Medium (50-500 employees),Internship,0.68,High,Low
2019,Data Scientist,104614,Technology,Houston,Senior,Low,"AI, Research",266,No,6.7,Medium (50-500 employees),Part-time,0.89,Medium,High
2010,AI Engineer,88334,Education,Chicago,Mid,Low,"Python, ML, AI, TensorFlow, PyTorch",279,Hybrid,21.2,Large (>500 employees),Contract,0.96,Low,Medium
2021,Salesforce Administrator,143520,Retail,Austin,Senior,Low,"Python, SQL, Stats",406,No,15.1,Large (>500 employees),Full-time,0.75,Low,Medium
2013,AI Researcher,98123,Research,Chicago,Junior,High,"AI, Research, TensorFlow, PyTorch",88,Yes,22.3,Medium (50-500 employees),Contract,0.13,Medium,Low
2020,DL Engineer,128655,Research,New York,Junior,Low,"AI, Research, TensorFlow, PyTorch",436,Hybrid,20.3,Medium (50-500 employees),Contract,0.38,Medium,Medium
2019,AI Researcher,112840,Finance,San Francisco,Junior,High,"Sales, CRM, TensorFlow, PyTorch",373,No,11.5,Small (<50 employees),Contract,0.27,Low,High
2010,Salesforce Developer,81073,Education,Austin,Mid,High,"Python, ML, AI",122,Yes,16.8,Medium (50-500 employees),Contract,0.28,Low,Medium
2010,Salesforce Developer,106497,Retail,Chicago,Junior,Low,"Python, SQL, Stats",274,Hybrid,16.7,Medium (50-500 employees),Part-time,0.35,High,Medium
2010,Data Scientist,103142,Healthcare,Miami,Junior,High,"Sales, CRM",79,Yes,5.2,Medium (50-500 employees),Full-time,0.15,Medium,Medium
2017,Salesforce Developer,97285,Manufacturing,New York,Junior,High,"Python, ML, AI",459,No,16.9,Large (>500 employees),Internship,0.58,Low,Medium
2019,Salesforce Consultant,133674,Research,Miami,Mid,Medium,"Python, ML, AI",353,Hybrid,6.7,Medium (50-500 employees),Internship,0.21,Medium,Medium
2020,AI Engineer,91653,Healthcare,Chicago,Mid,Medium,"Python, ML, AI, TensorFlow, PyTorch",160,Yes,3.7,Medium (50-500 employees),Contract,0.63,Medium,High
2015,AI Researcher,64619,Technology,San Jose,Mid,Low,"AI, Research, TensorFlow, PyTorch",217,Yes,12.0,Large (>500 employees),Internship,0.43,Medium,Medium
2019,Data Scientist,135870,Research,Chicago,Mid,Low,"Sales, CRM",488,No,6.7,Large (>500 employees),Internship,0.32,High,Low
2020,ML Engineer,125144,Technology,Boston,Senior,High,"AI, Research, TensorFlow, PyTorch",113,Hybrid,16.0,Small (<50 employees),Contract,0.31,High,High
2010,Data Scientist,101310,Healthcare,San Jose,Junior,Medium,"Sales, CRM",288,Yes,13.1,Medium (50-500 employees),Full-time,0.84,High,Medium
2017,DL Engineer,122616,Education,Austin,Junior,Medium,"AI, Research, TensorFlow, PyTorch",285,Hybrid,2.8,Small (<50 employees),Contract,0.43,High,Medium
2015,Salesforce Developer,94230,Education,Seattle,Junior,Low,"Python, SQL, Stats",102,No,7.1,Small (<50 employees),Part-time,0.25,Medium,High
2014,Data Scientist,86948,Research,San Francisco,Senior,Low,"Sales, CRM",344,Hybrid,20.1,Large (>500 employees),Internship,0.82,Medium,High
2010,Data Scientist,89340,Healthcare,Houston,Junior,Low,"AI, Research",416,Yes,6.1,Medium (50-500 employees),Contract,0.62,High,Medium
2017,Salesforce Administrator,105884,Retail,Houston,Mid,High,"Python, ML, AI",436,No,15.8,Medium (50-500 employees),Part-time,0.46,High,High
2017,AI Researcher,60398,Education,San Jose,Junior,Low,"AI, Research, TensorFlow, PyTorch",223,No,3.1,Medium (50-500 employees),Internship,0.45,Medium,Low
2015,Data Scientist,91410,Education,Houston,Senior,High,"Python, ML, AI",68,No,1.3,Medium (50-500 employees),Part-time,0.48,Low,High
2013,AI Researcher,135621,Education,San Francisco,Junior,Low,"Python, SQL, Stats, TensorFlow, PyTorch",340,Yes,6.6,Small (<50 employees),Contract,0.52,Medium,Low
2022,Data Scientist,66173,Manufacturing,Seattle,Senior,Medium,"Python, ML, AI",463,No,1.0,Small (<50 employees),Full-time,0.83,Medium,Low
2012,Data Scientist,119768,Technology,San Francisco,Mid,High,"Python, SQL, Stats",334,Yes,23.2,Large (>500 employees),Internship,0.62,High,Medium
2013,Salesforce Developer,70195,Retail,Seattle,Junior,Medium,"Python, ML, AI",265,No,5.4,Medium (50-500 employees),Internship,0.96,Medium,Low
2015,Data Scientist,118750,Manufacturing,Miami,Junior,Medium,"Python, ML, AI",231,Hybrid,3.9,Large (>500 employees),Full-time,0.15,Medium,Medium
2021,Salesforce Administrator,89918,Retail,Austin,Junior,Medium,"AI, Research",258,No,13.7,Medium (50-500 employees),Contract,0.57,Low,High
2010,Salesforce Administrator,122136,Healthcare,Miami,Senior,High,"Sales, CRM",393,Hybrid,22.2,Small (<50 employees),Full-time,0.49,Low,Medium
2011,Data Scientist,107839,Manufacturing,Houston,Junior,High,"Python, ML, AI",448,No,3.6,Large (>500 employees),Full-time,0.62,Medium,Low
2024,DL Engineer,125777,Technology,Austin,Junior,Medium,"Sales, CRM, TensorFlow, PyTorch",79,No,15.2,Large (>500 employees),Part-time,0.63,High,Medium
2022,DL Engineer,99653,Retail,Boston,Senior,Low,"Python, ML, AI, TensorFlow, PyTorch",477,Hybrid,7.3,Medium (50-500 employees),Contract,0.21,High,High
2010,AI Researcher,77878,Research,Chicago,Junior,Medium,"Python, ML, AI, TensorFlow, PyTorch",351,Yes,4.6,Medium (50-500 employees),Full-time,0.17,High,Medium
2010,DL Engineer,99869,Healthcare,San Francisco,Senior,Low,"AI, Research, TensorFlow, PyTorch",415,No,9.4,Large (>500 employees),Contract,0.58,High,Low
2020,ML Engineer,124268,Retail,New York,Mid,High,"Python, SQL, Stats, TensorFlow, PyTorch",308,No,7.7,Medium (50-500 employees),Contract,0.53,High,High
2021,AI Researcher,97949,Research,Miami,Junior,High,"Sales, CRM, TensorFlow, PyTorch",341,Yes,3.1,Large (>500 employees),Part-time,0.7,High,High
2020,DL Engineer,81442,Technology,San Jose,Junior,Medium,"Python, SQL, Stats, TensorFlow, PyTorch",322,Yes,25.0,Small (<50 employees),Contract,0.77,Low,High
2013,AI Researcher,89730,Retail,San Francisco,Mid,High,"Sales, CRM, TensorFlow, PyTorch",65,Yes,1.8,Medium (50-500 employees),Full-time,0.9,High,Medium
2010,AI Researcher,122836,Retail,San Jose,Junior,Medium,"Sales, CRM, TensorFlow, PyTorch",224,No,8.3,Large (>500 employees),Part-time,0.77,High,High
2023,AI Researcher,93700,Technology,Miami,Junior,Medium,"AI, Research, TensorFlow, PyTorch",192,Yes,2.5,Large (>500 employees),Contract,0.38,Medium,Low
2024,DL Engineer,95029,Education,Austin,Mid,High,"Sales, CRM, TensorFlow, PyTorch",457,Yes,6.1,Large (>500 employees),Full-time,0.46,High,High
2016,Data Scientist,121304,Research,Miami,Junior,High,"AI, Research",500,No,10.8,Medium (50-500 employees),Part-time,0.77,Medium,Medium
2022,ML Engineer,127885,Manufacturing,New York,Junior,Medium,"Sales, CRM, TensorFlow, PyTorch",109,Hybrid,24.4,Medium (50-500 employees),Internship,0.12,High,High
2021,AI Researcher,83600,Finance,Miami,Junior,Low,"Python, ML, AI, TensorFlow, PyTorch",133,No,6.2,Small (<50 employees),Contract,0.27,Low,Medium
